"city","time","humidity","pressure_mb","temp","wind_dir","wind_speed"
"Kochi","2025-10-23T13:44:18.553201","74","1008","28.1","SW","8.1"
"Mumbai","2025-10-23T13:44:18.021338","63","1005","32.3","NW","11.6"
"Dehradun","2025-10-23T13:44:18.424993","71","1014","17.3","NE","5.1"
"Kerela","2025-10-23T13:44:18.666117","45","1013","32.2","NNE","2.5"
"Kashmir","2025-10-23T13:44:18.298050","42","1010","30.2","SW","8.9"
"Bangalore","2025-10-23T13:44:17.570154","89","1013","23.4","WSW","13"
"Sikkim","2025-10-23T13:44:18.911560","75","1017","7.8","NE","5.4"
"Delhi","2025-10-23T13:44:17.915696","92","985","6.8","WNW","13.4"
"Hyderabad","2025-10-23T13:44:18.790758","89","1011","25.1","E","8.3"
"Chennai","2025-10-23T13:44:18.163170","84","1006","30.2","SSE","6.7"